sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00,3.999999999999953815e+00,3.999999999999953815e+00
2.000000000000000000e+00,2.000000000000018430e-01,8.745117187500178746e-01,8.745117187500176525e-01,8.735351562500178746e-01,8.755468750000179323e-01
3.000000000000000000e+00,1.125488281249992506e-01,2.781792624728915975e+00,2.781829467806276490e+00,2.777619085118809839e+00,2.786294090064497020e+00
4.000000000000000000e+00,9.563750000000006968e-02,1.700150307149356665e+00,1.700160594564189553e+00,1.695683525108270473e+00,1.704339796697694309e+00
5.000000000000000000e+00,7.189929687500007383e-02,2.418554162668926644e+00,2.418597500161299596e+00,2.412159683619450767e+00,2.423979311598372544e+00
6.000000000000000000e+00,6.085903124999999386e-02,2.093845151371852342e+00,2.093889044526036969e+00,2.087132501657258388e+00,2.099896003703140668e+00
7.000000000000000000e+00,5.066106562499998744e-02,2.342753720944851459e+00,2.342822623305924168e+00,2.335121189655371410e+00,2.348965987022572754e+00
8.000000000000000000e+00,4.390383124999999026e-02,2.262799354213534286e+00,2.262877975704221889e+00,2.255241467354129892e+00,2.269169791779697132e+00
9.000000000000000000e+00,3.824287049999999105e-02,2.353294670963570479e+00,2.353388811687216364e+00,2.345552202188777802e+00,2.359553422106552389e+00
1.000000000000000000e+01,3.390419310000000047e-02,2.344563731852977728e+00,2.344666490123762159e+00,2.337132059764593706e+00,2.350672263510680704e+00
1.100000000000000000e+01,3.029381634999999198e-02,2.383833650757574141e+00,2.383945231097079454e+00,2.376559520067887732e+00,2.389674361905353539e+00
1.200000000000000000e+01,2.733915502500000247e-02,2.393407247479475863e+00,2.393524669912848513e+00,2.386591148905902848e+00,2.398917359857140941e+00
1.300000000000000000e+01,2.484100536859999708e-02,2.415662963423045095e+00,2.415785665461426479e+00,2.409074970226522172e+00,2.420676617875418213e+00
1.400000000000000000e+01,2.272319374475999937e-02,2.428780849677468101e+00,2.428907795129937153e+00,2.422391089582561996e+00,2.433665053993604666e+00
1.500000000000000000e+01,2.089888695354400264e-02,2.444842825741375236e+00,2.444973859639212321e+00,2.438723724731098219e+00,2.449491393187074539e+00
1.600000000000000000e+01,1.931689415580319438e-02,2.457859750429085111e+00,2.457994805496164670e+00,2.451872460300645429e+00,2.462637801770257706e+00
1.700000000000000000e+01,1.793149841299103431e-02,2.471289743170277386e+00,2.471429070152471041e+00,2.464913570418548971e+00,2.476405169483382629e+00
