sigma,condensate_starts_full_operator,excised_renormalize,excised_hold,excised_radius_minus1,excised_radius_plus1,excised_rho0.4
0.000000000000000000e+00,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,4.000000000000011546e+00,3.999066840277788693e+00,3.982879377431918222e+00,3.997960069444455922e+00,3.999739583333345117e+00,9.999186197916686281e-01
2.000000000000000000e+00,8.687500000000006883e-01,8.668675787206674421e-01,8.721528861154450585e-01,8.599009543610406370e-01,8.675344962249419423e-01,1.553631962244196751e+00
3.000000000000000000e+00,2.762237569060771225e+00,2.760154958334502417e+00,2.758785040292029311e+00,2.736403566744275651e+00,2.761401168407006779e+00,1.847805606450979576e+00
4.000000000000000000e+00,1.712061038833989413e+00,1.704846851640051675e+00,1.713655154454595264e+00,1.696631565491111493e+00,1.716688617189511934e+00,2.010113733281337023e+00
5.000000000000000000e+00,2.428765840888991168e+00,2.414230606362097742e+00,2.420267805430445840e+00,2.399872466004509874e+00,2.427410440169924577e+00,2.109147347791906935e+00
6.000000000000000000e+00,2.129775059194947140e+00,2.110122374089683728e+00,2.121675415841949075e+00,2.101801924831853796e+00,2.124706580984863535e+00,2.177219259889229264e+00
7.000000000000000000e+00,2.383713787714276222e+00,2.359010999624293170e+00,2.369438709909524210e+00,2.349362921573601604e+00,2.374533492690450664e+00,2.228814179854388566e+00
8.000000000000000000e+00,2.320718197334598276e+00,2.292368227523436719e+00,2.305319371484091384e+00,2.284738003745484303e+00,2.306710114764698893e+00,2.270547866638731538e+00
9.000000000000000000e+00,2.418008471739438114e+00,2.387311378028245112e+00,2.399241979698715443e+00,2.379344471858558574e+00,2.400787235046133006e+00,2.305677849167838023e+00
1.000000000000000000e+01,2.420122281600662895e+00,2.387665737903093000e+00,2.399979892397602566e+00,2.380247161342725182e+00,2.398820777510370927e+00,2.335991596586033836e+00
1.100000000000000000e+01,2.465456293800928123e+00,2.432381319586238710e+00,2.443386770948150932e+00,2.424712310788478931e+00,2.441325477320716697e+00,2.362583367044041260e+00
1.200000000000000000e+01,2.481924367090100336e+00,2.448565005807070705e+00,2.458714506274449096e+00,2.440849655225580950e+00,2.454586826238970954e+00,2.386184803202772375e+00
1.300000000000000000e+01,2.508681250864639445e+00,2.475743862727849187e+00,2.484333669525855104e+00,2.467687447534522960e+00,2.478904527650236833e+00,2.407316972167180325e+00
1.400000000000000000e+01,2.526019889189384138e+00,2.493734625663948989e+00,2.500910487766208057e+00,2.485352452563849734e+00,2.493797715611398402e+00,2.426367952727153110e+00
1.500000000000000000e+01,2.544941638035879805e+00,2.513687238727425388e+00,2.519217484151435649e+00,2.504854685444400708e+00,2.510769126878794832e+00,2.443636738814458642e+00
1.600000000000000000e+01,2.560251878617359367e+00,2.530174814329699373e+00,2.534145329644143629e+00,2.520863623173554835e+00,2.524301447207897731e+00,2.459360196418263644e+00
1.700000000000000000e+01,2.575092425313149302e+00,2.546374586094942494e+00,2.548763164991008967e+00,2.536523754849294932e+00,2.537724338575913396e+00,2.473730554731385034e+00
1.800000000000000000e+01,2.588184056790326704e+00,2.560899758022499029e+00,2.561797807536642768e+00,2.550481382235718630e+00,2.549626156765482321e+00,2.486907157859086226e+00
1.900000000000000000e+01,2.600476713102767956e+00,2.574696089398861076e+00,2.574166763847752115e+00,2.563680252201902654e+00,2.561011863860637394e+00,2.499024541410566957e+00
2.000000000000000000e+01,2.611711866340210797e+00,2.587454167742442745e+00,2.585597832705096799e+00,2.575826129614112947e+00,2.571561517908236283e+00,2.510198077088312107e+00
2.100000000000000000e+01,2.622215094937915048e+00,2.599487041584261693e+00,2.596394740167026427e+00,2.587238078593302237e+00,2.581604453281118428e+00,2.520527976569584272e+00
2.200000000000000000e+01,2.631976093700370445e+00,2.610759063867878371e+00,2.606530283157880046e+00,2.597890354274846825e+00,2.591094208634712182e+00,2.530102175416114374e+00
2.300000000000000000e+01,2.641131335152131943e+00,2.621395840991069370e+00,2.616123293881457812e+00,2.607915911318126057e+00,2.600153442647227031e+00,2.538998446281293120e+00
2.400000000000000000e+01,2.649719476069166024e+00,2.631422917433667408e+00,2.625196964114435705e+00,2.617348016138849598e+00,2.608794522885879985e+00,2.547285978209231416e+00
2.500000000000000000e+01,2.657811966112438640e+00,2.640904543886251066e+00,2.633808336918235682e+00,2.626257576733991961e+00,2.617070829582460512e+00,2.555026583547417740e+00
2.600000000000000000e+01,2.665448709622645129e+00,2.649873956887062842e+00,2.641984594091357774e+00,2.634683966110133557e+00,2.625001249402163506e+00,2.562275643030220262e+00
2.700000000000000000e+01,2.672673974442552502e+00,2.658371504199232405e+00,2.649758716463237906e+00,2.642672884541588996e+00,2.632612784188571808e+00,2.569082864852554771e+00
2.800000000000000000e+01,2.679519897104258863e+00,2.666426377346552190e+00,2.657153081429395325e+00,2.650258161531726664e+00,2.639920533279596526e+00,2.575492909789433238e+00
2.900000000000000000e+01,2.686016741037147160e+00,2.674067356397501705e+00,2.664189598206155196e+00,2.657472494299992327e+00,2.646940037617576458e+00,2.581545918134830586e+00
3.000000000000000000e+01,2.692188968913329372e+00,2.681318247417093126e+00,2.670885729158599009e+00,2.664342899755499428e+00,2.653682212046454492e+00,2.587277963079296139e+00
3.100000000000000000e+01,2.698058425516974168e+00,2.688201093609959180e+00,2.677257555338902417e+00,2.670893971866805217e+00,2.660157111631634930e+00,2.592721447516718847e+00
3.200000000000000000e+01,2.703643623297776521e+00,2.694735194214241680e+00,2.683318966670567907e+00,2.677146929820468202e+00,2.666372795669876172e+00,2.597905456066294416e+00
3.300000000000000000e+01,2.708960890922392561e+00,2.700938183691107053e+00,2.689082692602384306e+00,2.683120753186110541e+00,2.672336576125592167e+00,2.602856070559346424e+00
3.400000000000000000e+01,2.714024417344392592e+00,2.706825939012780236e+00,2.694560240591534761e+00,2.688832132670143427e+00,2.678054853533443858e+00,2.607596654848749029e+00
3.500000000000000000e+01,2.718846762320990873e+00,2.712413016236451924e+00,2.699762295962016889e+00,2.694295962629650099e+00,2.683533577523178781e+00,2.612148113188236920e+00
3.600000000000000000e+01,2.723439032968756113e+00,2.717712744230600386e+00,2.704698797892643114e+00,2.699525483525857528e+00,2.688778282973486977e+00,2.616529125349321028e+00
3.700000000000000000e+01,2.727811160588493600e+00,2.722737442209516523e+00,2.709379118455515822e+00,2.704532551830946208e+00,2.693794277521865066e+00,2.620756360922941841e+00
3.800000000000000000e+01,2.731972063229300307e+00,2.727498527185955091e+00,2.713812136626713833e+00,2.709327795003639405e+00,2.698586692338316606e+00,2.624844674770488329e+00
3.900000000000000000e+01,2.735929817014197685e+00,2.732006641492596088e+00,2.718006327095131791e+00,2.713920785867513175e+00,2.703160561883133362e+00,2.628807285264962434e+00
4.000000000000000000e+01,2.739691780212450745e+00,2.736271738908612861e+00,2.721969810310266080e+00,2.718320171553033848e+00,2.707520854997200743e+00,2.632655936741615577e+00
4.100000000000000000e+01,2.743264706652836615e+00,2.740303166996629347e+00,2.725710398813909308e+00,2.722533796152261321e+00,2.711672506607230027e+00,2.636401047421558896e+00
4.200000000000000000e+01,2.746654835070252432e+00,2.744109730457496621e+00,2.729235627121775476e+00,2.726568800671050230e+00,2.715620430138401709e+00,2.640051843957872180e+00
4.300000000000000000e+01,2.749867966358023441e+00,2.747699747193396380e+00,2.732552776204810741e+00,2.730431712586409709e+00,2.719369526145046123e+00,2.643616483664207539e+00
4.400000000000000000e+01,2.752909526463702683e+00,2.751081094024933282e+00,2.735668890231065742e+00,2.734128521610032614e+00,2.722924682719288558e+00,2.647102165412909880e+00
4.500000000000000000e+01,2.755784619527680501e+00,2.754261246209389835e+00,2.738590789484971033e+00,2.737664746133753102e+00,2.726290773011332824e+00,2.650515230124343535e+00
4.600000000000000000e+01,2.758498071667717877e+00,2.757247310676270491e+00,2.741325079506168105e+00,2.741045490280754837e+00,2.729472649299000242e+00,2.653861251710019520e+00
4.700000000000000000e+01,2.761054467579106664e+00,2.760046054748519051e+00,2.743878158046376914e+00,2.744275493580658143e+00,2.732475135658400056e+00,2.657145119275960532e+00
4.800000000000000000e+01,2.763458180794439389e+00,2.762663930833331172e+00,2.746256220249813751e+00,2.747359173896751550e+00,2.735303019467121288e+00,2.660371111338931005e+00
4.900000000000000000e+01,2.765713398832716940e+00,2.765107097985925133e+00,2.748465262792570307e+00,2.750300664735482847e+00,2.737961042613694218e+00,2.663542962755651722e+00
5.000000000000000000e+01,2.767824143992729358e+00,2.767381440815311677e+00,2.750511087308299185e+00,2.753103847597048404e+00,2.740453892682740644e+00,2.666663925015154923e+00
5.100000000000000000e+01,2.769794290573134976e+00,2.769492586255127620e+00,2.752399303457524038e+00,2.755772380101771724e+00,2.742786194505272945e+00,2.669736820495614449e+00
5.200000000000000000e+01,2.771627579097700522e+00,2.771445918548394172e+00,2.754135331838196699e+00,2.758309720434636514e+00,2.744962502240809066e+00,2.672764091240653617e+00
5.300000000000000000e+01,2.773327628073744666e+00,2.773246592767876439e+00,2.755724406907540835e+00,2.760719148623989927e+00,2.746987292154807747e+00,2.675747842765528350e+00
5.400000000000000000e+01,2.774897943704467629e+00,2.774899547110735831e+00,2.757171580012752976e+00,2.763003785072611684e+00,2.748864956161829909e+00,2.678689883361542456e+00
5.500000000000000000e+01,2.776341927919639296e+00,2.776409514170536497e+00,2.758481722599788188e+00,2.765166606715085518e+00,2.750599796183232026e+00,2.681591759327600411e+00
5.600000000000000000e+01,2.777662885023643558e+00,2.777781031343305340e+00,2.759659529634568731e+00,2.767210461116849984e+00,2.752196019325555909e+00,2.684454786521009328e+00
5.700000000000000000e+01,2.778864027214348997e+00,2.779018450496643755e+00,2.760709523251836828e+00,2.769138078790964741e+00,2.753657733868392299e+00,2.687280078584601384e+00
5.800000000000000000e+01,2.779948479182378307e+00,2.780125947003305065e+00,2.761636056628792524e+00,2.770952083967866297e+00,2.754988946030756836e+00,2.690068572174677097e+00
5.900000000000000000e+01,2.780919281965950507e+00,2.781107528220710279e+00,2.762443318071008846e+00,2.772655004023163006e+00,2.756193557475143052e+00,2.692821049486674223e+00
6.000000000000000000e+01,2.781779396206558008e+00,2.781967041482091396e+00,2.763135335289848449e+00,2.774249277739932129e+00,2.757275363500275578e+00,2.695538158345451851e+00
6.100000000000000000e+01,2.782531704926187288e+00,2.782708181650839663e+00,2.763715979845343451e+00,2.775737262557700369e+00,2.758238051868733276e+00,2.698220430103817069e+00
6.200000000000000000e+01,2.783179015924273525e+00,2.783334498280644276e+00,2.764188971726364574e+00,2.777121240940580549e+00,2.759085202214230481e+00,2.700868295569876398e+00
6.300000000000000000e+01,2.783724063877067056e+00,2.783849402414767304e+00,2.764557884038776336e+00,2.778403425978404950e+00,2.759820285972550025e+00,2.703482099161677699e+00
6.400000000000000000e+01,2.784169512204761610e+00,2.784256173052198857e+00,2.764826147772057485e+00,2.779585966320353485e+00,2.760446666780574265e+00,2.706062111469730080e+00
6.500000000000000000e+01,2.784517954760807434e+00,2.784557963303923689e+00,2.764997056615793092e+00,2.780670950526742846e+00,2.760967601290880147e+00,2.708608540389878971e+00
6.600000000000000000e+01,2.784771917387397266e+00,2.784757806257359913e+00,2.765073771799526625e+00,2.781660410913482373e+00,2.761386240350788501e+00,2.711121540973460586e+00
6.700000000000000000e+01,2.784933859371291565e+00,2.784858620565845655e+00,2.765059326930638051e+00,2.782556326954383152e+00,2.761705630498027642e+00,2.713601224127259126e+00
6.800000000000000000e+01,2.785006174827973080e+00,2.784863215776582024e+00,2.764956632807335168e+00,2.783360628297166350e+00,2.761928715728724448e+00,2.716047664282591256e+00
6.900000000000000000e+01,2.784991194035632667e+00,2.784774297409384314e+00,2.764768482187002441e+00,2.784075197442570815e+00,2.762058339496670012e+00,2.718460906141578093e+00
7.000000000000000000e+01,2.784891184735622804e+00,2.784594471797531057e+00,2.764497554490773723e+00,2.784701872129072608e+00,2.762097246905552694e+00,2.720840970597310893e+00
7.100000000000000000e+01,2.784708353411901705e+00,2.784326250700008831e+00,2.764146420428874151e+00,2.785242447460872572e+00,2.762048087060121393e+00,2.723187859915417786e+00
7.200000000000000000e+01,2.784444846559223308e+00,2.783972055695223435e+00,2.763717546533407621e+00,2.785698677811188961e+00,2.761913415545055095e+00,2.725501562256217536e+00
7.300000000000000000e+01,2.784102751945692678e+00,2.783534222364876687e+00,2.763213299586453342e+00,2.786072278529164947e+00,2.761695697003237804e+00,2.727782055607284484e+00
7.400000000000000000e+01,2.783684099874989659e+00,2.783015004275863902e+00,2.762635950933919116e+00,2.786364927475866171e+00,2.761397307788358457e+00,2.730029311191084940e+00
7.500000000000000000e+01,2.783190864450544755e+00,2.782416576769003669e+00,2.761987680678116952e+00,2.786578266410406624e+00,2.761020538669340496e+00,2.732243296404806454e+00
7.600000000000000000e+01,2.782624964842779214e+00,2.781741040562047296e+00,2.761270581741856134e+00,2.786713902245117502e+00,2.760567597566991882e+00,2.734423977343346746e+00
