sigma,P_mean,Ds_of_mean_P,mean_of_Ds
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan
1.000000000000000000e+00,1.999999999999995948e-01,4.000000000000009770e+00,4.000000000000012434e+00
2.000000000000000000e+00,1.999999999999995948e-01,8.704687500000007905e-01,8.704687500000005684e-01
3.000000000000000000e+00,1.129531249999996961e-01,2.766565223405725860e+00,2.766870499568960806e+00
4.000000000000000000e+00,9.583593749999992639e-02,1.702818945137348994e+00,1.702887918085913777e+00
5.000000000000000000e+00,7.215531249999999897e-02,2.413140924308236013e+00,2.413480027121926774e+00
6.000000000000000000e+00,6.101175000000000348e-02,2.099695140690112982e+00,2.099895106752027729e+00
7.000000000000000000e+00,5.080429999999999668e-02,2.343073371742157018e+00,2.343433874863503075e+00
8.000000000000000000e+00,4.400629249999999520e-02,2.266166730587447997e+00,2.266494139939077446e+00
9.000000000000000000e+00,3.833860050000000713e-02,2.350938349979676101e+00,2.351350256911977521e+00
1.000000000000000000e+01,3.399166069999999540e-02,2.339374186563354385e+00,2.339797283620049129e+00
1.100000000000000000e+01,3.038667914000000442e-02,2.371536948673621747e+00,2.372005749612327019e+00
1.200000000000000000e+01,2.744046685199999502e-02,2.374594121107343359e+00,2.375084134687622139e+00
1.300000000000000000e+01,2.495668153439999440e-02,2.388260115647343529e+00,2.388780019652217312e+00
1.400000000000000000e+01,2.285561707295999043e-02,2.392648399310174590e+00,2.393192819400904892e+00
1.500000000000000000e+01,2.105057756262399341e-02,2.398943873272475713e+00,2.399517709217565908e+00
1.600000000000000000e+01,1.948900680144639852e-02,2.401919145115415599e+00,2.402525699448271990e+00
1.700000000000000000e+01,1.812488890289407767e-02,2.404770004753495449e+00,2.405416207681490004e+00
1.800000000000000000e+01,1.692511332067174121e-02,2.406209469397067480e+00,2.406903040055526244e+00
1.900000000000000000e+01,1.586236846162636729e-02,2.407194373496337914e+00,2.407944422617354530e+00
2.000000000000000000e+01,1.491543942008475426e-02,2.407455688254911852e+00,2.408271939797050010e+00
2.100000000000000000e+01,1.406695548789113799e-02,2.407308103095531227e+00,2.408200643697758103e+00
2.200000000000000000e+01,1.330289199475692165e-02,2.406725834518143703e+00,2.407704806036140344e+00
2.300000000000000000e+01,1.261166394981904325e-02,2.405828312064242525e+00,2.406903647973887228e+00
2.400000000000000000e+01,1.198369642116063442e-02,2.404636516845574779e+00,2.405817789330495948e+00
2.500000000000000000e+01,1.141097919893927295e-02,2.403203842910672350e+00,2.404500113184078636e+00
2.600000000000000000e+01,1.088678005867005014e-02,2.401552873376395780e+00,2.402972625477573398e+00
2.700000000000000000e+01,1.040539543233481509e-02,2.399711160979578928e+00,2.401262245915692262e+00
2.800000000000000000e+01,9.961967334470798671e-03,2.397695347953579414e+00,2.399384974023949013e+00
2.900000000000000000e+01,9.552332477537452474e-03,2.395521295848296983e+00,2.397356029888112694e+00
3.000000000000000000e+01,9.172904718092719789e-03,2.393200399410015500e+00,2.395186190260135017e+00
3.100000000000000000e+01,8.820579169701135355e-03,2.390742658452596814e+00,2.392884867070035337e+00
3.200000000000000000e+01,8.492655205406820021e-03,2.388156005700265982e+00,2.390459444108946840e+00
3.300000000000000000e+01,8.186773371790700277e-03,2.385447348460693284e+00,2.387916320770497425e+00
3.400000000000000000e+01,7.900863786249646276e-03,2.382622564930969578e+00,2.385260910171519200e+00
3.500000000000000000e+01,7.633103479450572583e-03,2.379686910025249347e+00,2.382498043898296558e+00
3.600000000000000000e+01,7.381881031023454498e-03,2.376645111348353545e+00,2.379632066398211343e+00
3.700000000000000000e+01,7.145767049868988197e-03,2.373501547648344534e+00,2.376667010711153161e+00
3.800000000000000000e+01,6.923489432320789963e-03,2.370260325562917103e+00,2.373606672262922768e+00
3.900000000000000000e+01,6.713912515240459504e-03,2.366925363166586749e+00,2.370454689140260918e+00
4.000000000000000000e+01,6.516019436977092162e-03,2.363500435248902409e+00,2.367214584131613897e+00
4.100000000000000000e+01,6.328897145855817870e-03,2.359989211913553042e+00,2.363889800146972142e+00
4.200000000000000000e+01,6.151723608012940776e-03,2.356395280769483680e+00,2.360483719423081883e+00
4.300000000000000000e+01,5.983756848748200859e-03,2.352722162795413574e+00,2.356999676616422512e+00
4.400000000000000000e+01,5.824325529993667865e-03,2.348973320605598936e+00,2.353440964554663228e+00
4.500000000000000000e+01,5.672820819646446494e-03,2.345152162792143447e+00,2.349810836323082963e+00
4.600000000000000000e+01,5.528689351897530906e-03,2.341262044760434868e+00,2.346112504105087648e+00
4.700000000000000000e+01,5.391427112323210480e-03,2.337306267601086951e+00,2.342349136307129154e+00
4.800000000000000000e+01,5.260574109749712422e-03,2.333288075528054062e+00,2.338523853483162718e+00
4.900000000000000000e+01,5.135709719808406043e-03,2.329210652598338260e+00,2.334639723754619034e+00
5.000000000000000000e+01,5.016448603871537584e-03,2.325077119071936593e+00,2.330699758064400218e+00
5.100000000000000000e+01,4.902437122451164600e-03,2.320890527752824894e+00,2.326706905584744689e+00
5.200000000000000000e+01,4.793350174844072421e-03,2.316653860505400342e+00,2.322664049453440072e+00
5.300000000000000000e+01,4.688888407310650049e-03,2.312370025098299031e+00,2.318574002970838155e+00
5.400000000000000000e+01,4.588775740804524293e-03,2.308041852459365550e+00,2.314439506323774154e+00
5.500000000000000000e+01,4.492757176545333908e-03,2.303672094393436343e+00,2.310263223871585669e+00
5.600000000000000000e+01,4.400596843813736440e-03,2.299263421781400307e+00,2.306047741997954148e+00
5.700000000000000000e+01,4.312076259456269593e-03,2.294818423259324280e+00,2.301795567514495211e+00
5.800000000000000000e+01,4.226992772889185540e-03,2.290339604361508297e+00,2.297509126587837347e+00
5.900000000000000000e+01,4.145158174023545923e-03,2.285829387100887455e+00,2.293190764153943739e+00
6.000000000000000000e+01,4.066397444611821559e-03,2.281290109953615808e+00,2.288842743777359967e+00
6.100000000000000000e+01,3.990547636131319166e-03,2.276724028211595474e+00,2.284467247911563081e+00
6.200000000000000000e+01,3.917456859547835402e-03,2.272133314664318782e+00,2.280066378515506198e+00
6.300000000000000000e+01,3.846983374206498253e-03,2.267520060571816654e+00,2.275642157982189495e+00
6.400000000000000000e+01,3.778994764727208570e-03,2.262886276890993642e+00,2.271196530337243225e+00
6.500000000000000000e+01,3.713367196182371533e-03,2.258233895719712336e+00,2.266731362667567584e+00
6.600000000000000000e+01,3.649984739039936234e-03,2.253564771924391419e+00,2.262248446742826768e+00
6.700000000000000000e+01,3.588738756395067845e-03,2.248880684920022244e+00,2.257749500795892317e+00
6.800000000000000000e+01,3.529527346913357601e-03,2.244183340574104069e+00,2.253236171431248547e+00
