sigma,P_mean,Ds_of_mean_P,mean_Ds
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan
1.000000000000000000e+00,2.000000000000302647e-01,3.999999999999243272e+00,3.999999999999244604e+00
2.000000000000000000e+00,2.000000000000302647e-01,8.699843036963544884e-01,8.699843036963542664e-01
3.000000000000000000e+00,1.130015696303816458e-01,2.769254456801466535e+00,2.769261641854587008e+00
4.000000000000000000e+00,9.568996655853172217e-02,1.715848389651730255e+00,1.715850675139848125e+00
5.000000000000000000e+00,7.195420087406050047e-02,2.431175405908026832e+00,2.431185212306019583e+00
6.000000000000000000e+00,6.070330985517537886e-02,2.127260833461794842e+00,2.127269152250626849e+00
7.000000000000000000e+00,5.043223862132550916e-02,2.378754132233962260e+00,2.378769072347385549e+00
8.000000000000000000e+00,4.356532470970576887e-02,2.311636736754747901e+00,2.311653703110267521e+00
9.000000000000000000e+00,3.784383799037485674e-02,2.406447295169246381e+00,2.406470273065203891e+00
1.000000000000000000e+01,3.344652453517679702e-02,2.405420224768182624e+00,2.405447280493145712e+00
1.100000000000000000e+01,2.979854333386290632e-02,2.448482306619611748e+00,2.448514995555701290e+00
1.200000000000000000e+01,2.681368761554033323e-02,2.462520053408215226e+00,2.462557520046114945e+00
1.300000000000000000e+01,2.429610637893860753e-02,2.487301671162385652e+00,2.487344258285238308e+00
1.400000000000000000e+01,2.216509176945778703e-02,2.502718278544715069e+00,2.502765438490103911e+00
1.500000000000000000e+01,2.033375064200696261e-02,2.519992930166136347e+00,2.520044464389315841e+00
1.600000000000000000e+01,1.874903124534987517e-02,2.533785611347749711e+00,2.533841024892012683e+00
1.700000000000000000e+01,1.736462404224590680e-02,2.547310333784973846e+00,2.547369223308451947e+00
1.800000000000000000e+01,1.614708499446140463e-02,2.559235769221789525e+00,2.559297656048323155e+00
1.900000000000000000e+01,1.506883529299645960e-02,2.570530726671252708e+00,2.570595169317897000e+00
2.000000000000000000e+01,1.410840582941953053e-02,2.580915369844618112e+00,2.580981934448053128e+00
2.100000000000000000e+01,1.324820522053874600e-02,2.590715818942292969e+00,2.590784109959423986e+00
2.200000000000000000e+01,1.247400893239840672e-02,2.599909798450680931e+00,2.599979460159389077e+00
2.300000000000000000e+01,1.177405530920674903e-02,2.608628259943270855e+00,2.608698983938094962e+00
2.400000000000000000e+01,1.113861182745354457e-02,2.616900660972955261e+00,2.616972190344803106e+00
2.500000000000000000e+01,1.055952861530740083e-02,2.624791213713699722e+00,2.624863343563934581e+00
2.600000000000000000e+01,1.002994951023685431e-02,nan,nan
