sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018985e-01,3.999999999999952482e+00,3.999999999999956923e+00,3.999999999999952482e+00,3.999999999999952482e+00
2.000000000000000000e+00,2.000000000000018985e-01,8.694531250000182565e-01,8.694531250000178124e-01,8.686621093750183098e-01,8.703029785156435327e-01
3.000000000000000000e+00,1.130546874999992513e-01,2.767039250915690918e+00,2.767096327008309764e+00,2.763059833640737040e+00,2.771014098302273521e+00
4.000000000000000000e+00,9.572441406250006835e-02,1.715451868869951157e+00,1.715463625700051287e+00,1.712617027419086613e+00,1.718349430054019189e+00
5.000000000000000000e+00,7.200203125000005644e-02,2.429148591728099937e+00,2.429199668427338477e+00,2.425177827744178227e+00,2.433264347488264701e+00
6.000000000000000000e+00,6.074368750000001815e-02,2.126716665003262730e+00,2.126752994453517953e+00,2.122824562338765819e+00,2.130402156006321768e+00
7.000000000000000000e+00,5.047126249999998870e-02,2.377851622742746862e+00,2.377912070308895398e+00,2.373381417692546957e+00,2.382281544359682535e+00
8.000000000000000000e+00,4.359894843749999999e-02,2.311613562067345473e+00,2.311676705649648778e+00,2.307139210363184034e+00,2.316272390093423006e+00
9.000000000000000000e+00,3.787327243750000100e-02,2.406647916097441442e+00,2.406725678313894612e+00,2.401531815581090967e+00,2.411945522806234088e+00
1.000000000000000000e+01,3.347143374999999449e-02,2.406171370684114574e+00,2.406256097003319105e+00,2.400800885045507371e+00,2.411926751427634574e+00
1.100000000000000000e+01,2.981947187499999971e-02,2.449573484825508629e+00,2.449667643284434870e+00,2.443804405169765825e+00,2.455722281235451554e+00
1.200000000000000000e+01,2.683098032849999537e-02,2.463990707807881986e+00,2.464091519410843478e+00,2.457915299551257871e+00,2.470391295339201765e+00
1.300000000000000000e+01,2.431019802409999445e-02,2.489074836931120860e+00,2.489182331307395746e+00,2.482534110124855697e+00,2.495662710184938682e+00
1.400000000000000000e+01,2.217637246829999922e-02,2.504769662486914239e+00,2.504882747255347653e+00,2.498078181243399420e+00,2.511487564384223603e+00
1.500000000000000000e+01,2.034257623962800257e-02,2.522284831957076090e+00,2.522403175634499117e+00,2.515447844972610092e+00,2.529012453157220452e+00
1.600000000000000000e+01,1.875572103549039138e-02,2.536289920968424649e+00,2.536413056163827395e+00,2.529400080109263982e+00,2.543131801692228411e+00
1.700000000000000000e+01,1.736945460070239353e-02,2.550003553379904808e+00,2.550131230316764697e+00,2.542970520675122081e+00,2.556871325495749137e+00
1.800000000000000000e+01,1.615029921478085967e-02,2.562096485765789744e+00,2.562228494026736136e+00,2.555112519960134776e+00,2.568834623735680722e+00
1.900000000000000000e+01,1.507064210835483593e-02,2.573542199528106700e+00,2.573678402439321555e+00,2.566642704340696746e+00,2.580354505395390241e+00
2.000000000000000000e+01,1.410898692847368033e-02,2.584061765049527892e+00,2.584202072909484560e+00,2.577107721385680339e+00,2.590618802236379636e+00
2.100000000000000000e+01,1.324771742508221509e-02,2.593983858057817393e+00,2.594128215955372685e+00,2.587170254756801402e+00,2.600476718350375194e+00
