rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,8.000000000000004885e-01,4.374999999999986122e-01,4.374999999999987232e-01,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000000e+00,4.000000000000000222e-01,6.500000000000009104e-01,8.118723707932662403e-01,8.118723707932655742e-01,0.000000000000000000e+00
2.000000000000000111e-01,3.000000000000000000e+00,6.000000000000000888e-01,5.361414794921885996e-01,1.126705705861764217e+00,1.126705707296802972e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.000000000000000000e+00,8.000000000000000444e-01,4.486421119689952830e-01,1.387224922649475944e+00,1.387224938121600859e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.000000000000000000e+00,1.000000000000000000e+00,3.805495997238168560e-01,1.599727380430975510e+00,1.599727454381234093e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.000000000000000000e+00,1.200000000000000178e+00,3.268869891109477122e-01,1.770990581408088849e+00,1.770990813632470573e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.000000000000000000e+00,1.400000000000000133e+00,2.840639699070940383e-01,1.907747138906607187e+00,1.907747699441334932e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.000000000000000000e+00,1.600000000000000089e+00,2.494695282742746822e-01,2.016286538259220329e+00,2.016287666520073074e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.000000000000000000e+00,1.800000000000000044e+00,2.211887134614317907e-01,2.102203133879986474e+00,2.102205122254372949e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+01,2.000000000000000000e+00,1.978046830945519863e-01,2.170278344991206421e+00,2.170281512681606184e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.100000000000000000e+01,2.200000000000000178e+00,1.782595914356363553e-01,2.224467288513891194e+00,2.224471953306375482e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.200000000000000000e+01,2.400000000000000355e+00,1.617562621843316173e-01,2.267955042510469532e+00,2.267961496833081458e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.300000000000000000e+01,2.600000000000000089e+00,1.476882638957529859e-01,2.303251177836123098e+00,2.303259672650133094e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.400000000000000000e+01,2.800000000000000266e+00,1.355898646635265992e-01,2.332298620780357101e+00,2.332309358039744485e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.500000000000000000e+01,3.000000000000000000e+00,1.250999742995716757e-01,2.356580980474223264e+00,2.356594112927579587e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.600000000000000000e+01,3.200000000000000178e+00,1.159359833240476145e-01,2.377219353255148881e+00,2.377234989423648415e+00,0.000000000000000000e+00
