sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00,3.999999999999953815e+00,3.999999999999953815e+00
2.000000000000000000e+00,2.000000000000018430e-01,8.746875000000182698e-01,8.746875000000177147e-01,8.727929687500179945e-01,8.760937500000181011e-01
3.000000000000000000e+00,1.125312499999992083e-01,2.776916134407176440e+00,2.776941995789889983e+00,2.767454906173719031e+00,2.784200522517237264e+00
4.000000000000000000e+00,9.583671875000004947e-02,1.686445859249501966e+00,1.686469841311139417e+00,1.679840004475968263e+00,1.692519343190677317e+00
5.000000000000000000e+00,7.212539062500003539e-02,2.402610471130464553e+00,2.402669660117840778e+00,2.391249982453317546e+00,2.411878802143437195e+00
6.000000000000000000e+00,6.117887500000002143e-02,2.070327073683524421e+00,2.070398435608522547e+00,2.060098842631534310e+00,2.080574845318370780e+00
7.000000000000000000e+00,5.101534375000000426e-02,2.315565770347284502e+00,2.315665722823665007e+00,2.304073120458214330e+00,2.327581937462048778e+00
8.000000000000000000e+00,4.430324874999998219e-02,2.229812661311886934e+00,2.229931545523383463e+00,2.217963707330200318e+00,2.242771506662681436e+00
9.000000000000000000e+00,3.866685062500000575e-02,2.316451907828473100e+00,2.316591565965453903e+00,2.304639713762922426e+00,2.330231294607044479e+00
1.000000000000000000e+01,3.435103764999999920e-02,2.303350182785531164e+00,2.303507633611301397e+00,2.291621028866035470e+00,2.317713524714645867e+00
1.100000000000000000e+01,3.075460373999999025e-02,2.339341428464785988e+00,2.339513717998957354e+00,2.327942534670332630e+00,2.354112654888864675e+00
1.200000000000000000e+01,2.781053595499999656e-02,2.345711108392761979e+00,2.345897010882410871e+00,2.334061395702181407e+00,2.360914769345017206e+00
1.300000000000000000e+01,2.531831348000000703e-02,2.365445449232979502e+00,2.365641604562531697e+00,2.353749589427760469e+00,2.380867930133129029e+00
1.400000000000000000e+01,2.320368292395999510e-02,2.376285454307094369e+00,2.376490770878591174e+00,2.364456956097601203e+00,2.392438070713627685e+00
1.500000000000000000e+01,2.137984389296000362e-02,2.390520694686887548e+00,2.390732550014210922e+00,2.378246151458688118e+00,2.406507996939017957e+00
1.600000000000000000e+01,1.979641897227359809e-02,2.401963604878806446e+00,2.402180889458817692e+00,2.389311073201805247e+00,2.418060213238122369e+00
1.700000000000000000e+01,1.840795152556416042e-02,2.414125941482773374e+00,2.414346832003687826e+00,2.401081570309059554e+00,2.429992706571063366e+00
