sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00,3.999999999999953815e+00,3.999999999999953815e+00
2.000000000000000000e+00,2.000000000000018430e-01,8.697265625000177858e-01,8.697265625000175637e-01,8.681250000000179101e-01,8.712114257812677565e-01
3.000000000000000000e+00,1.130273437499992595e-01,2.771446345256674881e+00,2.771484583428222681e+00,2.763816779403709845e+00,2.779299815830511555e+00
4.000000000000000000e+00,9.558359375000005653e-02,1.724854716503025465e+00,1.724868443998242684e+00,1.721388921236604697e+00,1.728925288114373515e+00
5.000000000000000000e+00,7.181039062500008119e-02,2.443155967375023163e+00,2.443194428848749045e+00,2.436424216200136161e+00,2.450136465249066475e+00
6.000000000000000000e+00,6.049479687499998565e-02,2.144399402118011277e+00,2.144428872962895749e+00,2.138814548487206313e+00,2.150618201487564551e+00
7.000000000000000000e+00,5.018955624999999615e-02,2.399861350637064294e+00,2.399906365809451714e+00,2.392916785771672661e+00,2.407271484725352462e+00
8.000000000000000000e+00,4.328794312499999880e-02,2.337112246425314677e+00,2.337162339378433984e+00,2.329984333726955459e+00,2.344244822359841329e+00
9.000000000000000000e+00,3.754345849999999457e-02,2.435926670820696582e+00,2.435988824725508373e+00,2.428319175056842472e+00,2.443334520838257085e+00
1.000000000000000000e+01,3.312648625000000346e-02,2.438815399565656517e+00,2.438886279695624548e+00,2.431262984043619735e+00,2.446081871713814415e+00
1.100000000000000000e+01,2.946452001999999570e-02,2.485541676677212486e+00,2.485621461374878827e+00,2.478059365248471035e+00,2.492743015793753791e+00
1.200000000000000000e+01,2.646873238699999631e-02,2.503054632043490990e+00,2.503141678122202674e+00,2.495632027044596413e+00,2.510200887348206233e+00
1.300000000000000000e+01,2.394346308620000363e-02,2.531068370154388347e+00,2.531161278831997485e+00,2.523755661282040652e+00,2.537964229867704535e+00
1.400000000000000000e+01,2.180699838011999556e-02,2.549512777832479760e+00,2.549610405532598101e+00,2.542354935612801903e+00,2.556218291292304379e+00
1.500000000000000000e+01,1.997223301360799563e-02,2.569589351736934368e+00,2.569690404407253492e+00,2.562595897559332148e+00,2.576060952816579430e+00
1.600000000000000000e+01,1.838563589464159778e-02,2.585989331534034985e+00,2.586092982102043081e+00,2.579247492261691033e+00,2.592305207462045402e+00
1.700000000000000000e+01,1.700066687129472148e-02,2.601923203090125369e+00,2.602028573041196946e+00,2.595418933314379117e+00,2.607966428623687438e+00
