sigma,P_mean,Ds_of_mean_P,mean_of_Ds
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan
1.000000000000000000e+00,1.999999999999997613e-01,4.000000000000006217e+00,4.000000000000006217e+00
2.000000000000000000e+00,1.999999999999997613e-01,8.748437499999980327e-01,8.748437499999982547e-01
3.000000000000000000e+00,1.125156250000000635e-01,2.788862657964163105e+00,2.789244207963616606e+00
4.000000000000000000e+00,9.540312500000003304e-02,1.716951095679520423e+00,1.717089407289100755e+00
5.000000000000000000e+00,7.156499999999998973e-02,2.444849088241461743e+00,2.445401093002789406e+00
6.000000000000000000e+00,6.040999999999999842e-02,2.126618109584505145e+00,2.127019561205331755e+00
7.000000000000000000e+00,5.015349999999999669e-02,2.381664390321712954e+00,2.382288372039625290e+00
8.000000000000000000e+00,4.334588499999999373e-02,2.305265747832811130e+00,2.305828780241081954e+00
9.000000000000000000e+00,3.766302699999999476e-02,2.397832702082069556e+00,2.398472840044711063e+00
1.000000000000000000e+01,3.331148080000000122e-02,2.389827413496428132e+00,2.390444799468305792e+00
1.100000000000000000e+01,2.970215800000000281e-02,2.428238518426845349e+00,2.428875152909301782e+00
1.200000000000000000e+01,2.675476042399999380e-02,2.436164793669094664e+00,2.436793826368235383e+00
1.300000000000000000e+01,2.427057421600000223e-02,2.455583214596984920e+00,2.456217619330468338e+00
1.400000000000000000e+01,2.217026698911999522e-02,2.465299565136250592e+00,2.465935214376083984e+00
1.500000000000000000e+01,2.036654924691199547e-02,2.477168776499406810e+00,2.477811199962016264e+00
1.600000000000000000e+01,1.880684166382080164e-02,2.485562317530595422e+00,2.486213172733811039e+00
1.700000000000000000e+01,1.744495068745215843e-02,2.493856585704459672e+00,2.494519371014349840e+00
1.800000000000000000e+01,1.624771194857420678e-02,2.500641603310809202e+00,2.501318806688038521e+00
1.900000000000000000e+01,1.518774488427355844e-02,2.506916089112864565e+00,2.507610188369070237e+00
2.000000000000000000e+01,1.424379605343068129e-02,2.512370918503647577e+00,2.513083863698554410e+00
2.100000000000000000e+01,1.339845993558674495e-02,2.517326695548702808e+00,2.518060020314181635e+00
2.200000000000000000e+01,1.263768648795009740e-02,2.521742646495217066e+00,2.522497405668640891e+00
2.300000000000000000e+01,1.194986934605492095e-02,2.525736247765287601e+00,2.526513018530617938e+00
2.400000000000000000e+01,1.132541613302008934e-02,2.529321740490213077e+00,2.530120643991984331e+00
2.500000000000000000e+01,1.075630179416549141e-02,2.532549729980891229e+00,2.533370447402726100e+00
2.600000000000000000e+01,1.023578136484381770e-02,2.535439230211663286e+00,2.536281043884598851e+00
2.700000000000000000e+01,9.758140193231087597e-03,2.538015599360158081e+00,2.538877428693533389e+00
2.800000000000000000e+01,9.318510548874786234e-03,2.540293374748560318e+00,2.541173824081564447e+00
2.900000000000000000e+01,8.912720528594259353e-03,2.542286886907936694e+00,2.543184290807712244e+00
3.000000000000000000e+01,8.537176323822360038e-03,2.544006198915166550e+00,2.544918670762150281e+00
3.100000000000000000e+01,8.188766212293063437e-03,2.545460259650220713e+00,2.546385737630435298e+00
3.200000000000000000e+01,7.864783453855958215e-03,2.546656107365582233e+00,2.547592399301809696e+00
3.300000000000000000e+01,7.562863124297124207e-03,2.547599908399471591e+00,2.548544733162736442e+00
3.400000000000000000e+01,7.280930441653015936e-03,2.548296906323658018e+00,2.549247932049685694e+00
3.500000000000000000e+01,7.017158050190591169e-03,2.548751815971327161e+00,2.549706694308115473e+00
3.600000000000000000e+01,6.769930603842127734e-03,2.548968901308178658e+00,2.549925297771911570e+00
3.700000000000000000e+01,6.537815200934811097e-03,2.548952147925734657e+00,2.549907768231714833e+00
3.800000000000000000e+01,6.319536601162011394e-03,2.548705335042926290e+00,2.549657947583066075e+00
3.900000000000000000e+01,6.113956341714267377e-03,2.548232119221456760e+00,2.549179573841031665e+00
4.000000000000000000e+01,5.920055064611395683e-03,2.547536081492522531e+00,2.548476324829222150e+00
4.100000000000000000e+01,5.736917494676265460e-03,2.546620769829148756e+00,2.547551857484621873e+00
4.200000000000000000e+01,5.563719619568986349e-03,2.545489726045714551e+00,2.546409831893065245e+00
4.300000000000000000e+01,5.399717705861698143e-03,2.544146506934535701e+00,2.545053929862958420e+00
4.400000000000000000e+01,5.244238853527111860e-03,2.542594697823406857e+00,2.543487866220318860e+00
