sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018985e-01,3.999999999999952482e+00,3.999999999999956923e+00,3.999999999999952482e+00,3.999999999999952482e+00
2.000000000000000000e+00,2.000000000000018985e-01,8.719824218750181766e-01,8.719824218750177325e-01,8.706628417968934608e-01,8.732912597656432574e-01
3.000000000000000000e+00,1.128017578124992509e-01,2.777258914889816133e+00,2.777314290958387222e+00,2.771757578196848204e+00,2.782820624672748711e+00
4.000000000000000000e+00,9.557343750000006632e-02,1.715580296565106577e+00,1.715592779864858031e+00,1.714168897914615464e+00,1.716966624112452822e+00
5.000000000000000000e+00,7.181078125000005252e-02,2.435227453224513727e+00,2.435281018203079295e+00,2.431723375574771140e+00,2.438706765422027356e+00
6.000000000000000000e+00,6.059832031250000917e-02,2.126373603847574678e+00,2.126404799713501159e+00,2.124059486326264068e+00,2.128526703655349461e+00
7.000000000000000000e+00,5.033500312499999269e-02,2.379511375067588030e+00,2.379563308423812362e+00,2.376385941579340244e+00,2.382403767695421504e+00
8.000000000000000000e+00,4.348793281249999781e-02,2.310115760920313122e+00,2.310163930856569792e+00,2.306957384941775047e+00,2.312957447396364774e+00
9.000000000000000000e+00,3.777723325000000715e-02,2.405288056001297470e+00,2.405348378980320945e+00,2.401743406532542036e+00,2.408631731524044195e+00
1.000000000000000000e+01,3.339180748749998734e-02,2.403251247481607678e+00,2.403316262296576689e+00,2.399620552778054527e+00,2.406779961571000381e+00
1.100000000000000000e+01,2.975234295000000334e-02,2.446283384935900695e+00,2.446358117849860125e+00,2.442515834334125557e+00,2.450012067977925145e+00
1.200000000000000000e+01,2.677520183100000686e-02,2.459879110892220666e+00,2.459961273106129998e+00,2.455981212881759301e+00,2.463963259582602650e+00
1.300000000000000000e+01,2.426369631049999850e-02,2.484589653999746517e+00,2.484680409892889852e+00,2.480425768740869508e+00,2.488854183014528321e+00
1.400000000000000000e+01,2.213786884477999747e-02,2.499843872514813992e+00,2.499942200593095354e+00,2.495524939969398837e+00,2.504297761103739806e+00
1.500000000000000000e+01,2.031075232606000674e-02,2.517113115738404350e+00,2.517218904166573790e+00,2.512558546605846654e+00,2.521848060981800810e+00
1.600000000000000000e+01,1.872957144008400091e-02,2.530905246085174642e+00,2.531017781184962345e+00,2.526197010587435177e+00,2.535840008119103928e+00
1.700000000000000000e+01,1.734807916264527808e-02,2.544508398504985891e+00,2.544627232344468304e+00,2.539681063793040039e+00,2.549662191004530065e+00
1.800000000000000000e+01,1.613296360906751534e-02,2.556539259514860607e+00,2.556663824867217105e+00,2.551635030697058326e+00,2.561889726400338407e+00
1.900000000000000000e+01,1.505671500492829738e-02,2.567985673724251239e+00,2.568115517349262245e+00,2.562954031700878765e+00,2.573473894928063999e+00
2.000000000000000000e+01,1.409794106033041873e-02,2.578547776639785738e+00,2.578682462222633198e+00,2.573258382818413015e+00,2.584122660388822101e+00
2.100000000000000000e+01,1.323910427611261001e-02,2.588553912528666068e+00,2.588693075424266965e+00,2.582922450118591673e+00,2.594266227068880326e+00
