rho,sigma,rho_sigma,P_mean,Ds_of_mean_P,mean_Ds,absolute_truncation_bound
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,8.000000000000004885e-01,4.374999999999986122e-01,4.374999999999987232e-01,0.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000000e+00,4.000000000000000222e-01,6.500000000000009104e-01,8.118845308743962708e-01,8.118845308743951605e-01,0.000000000000000000e+00
2.000000000000000111e-01,3.000000000000000000e+00,6.000000000000000888e-01,5.361375274658213286e-01,1.126783652773541977e+00,1.126783654071688900e+00,0.000000000000000000e+00
2.000000000000000111e-01,4.000000000000000000e+00,8.000000000000000444e-01,4.486296661376964479e-01,1.387447759024264649e+00,1.387447773294894438e+00,0.000000000000000000e+00
2.000000000000000111e-01,5.000000000000000000e+00,1.000000000000000000e+00,3.805249712371835957e-01,1.600182424711576790e+00,1.600182494268739042e+00,0.000000000000000000e+00
2.000000000000000111e-01,6.000000000000000000e+00,1.200000000000000178e+00,3.268477919101725471e-01,1.771758198425584352e+00,1.771758421088485136e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.000000000000000000e+00,1.400000000000000133e+00,2.840090954114923294e-01,1.908889822670974512e+00,1.908890370148657034e+00,0.000000000000000000e+00
2.000000000000000111e-01,8.000000000000000000e+00,1.600000000000000089e+00,2.493989245134600463e-01,2.017842963778391674e+00,2.017844085178689184e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.000000000000000000e+00,1.800000000000000044e+00,2.211031122860693809e-01,2.104186713393340291e+00,2.104188721936173234e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+01,2.000000000000000000e+00,1.977053432732086002e-01,2.172679148266939642e+00,2.172682395281397838e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.100000000000000000e+01,2.200000000000000178e+00,1.781480846030036036e-01,2.227256003337594770e+00,2.227260846670775507e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.200000000000000000e+01,2.400000000000000355e+00,1.616343077354691904e-01,2.271087805028616735e+00,2.271094578901672989e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.300000000000000000e+01,2.600000000000000089e+00,1.475576091719813798e-01,2.306674412906219107e+00,2.306683404186343100e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.400000000000000000e+01,2.800000000000000266e+00,1.354522030041903080e-01,2.335953363020979889e+00,2.335964796233434004e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.500000000000000000e+01,3.000000000000000000e+00,1.249568928051071753e-01,2.360406421686558343e+00,2.360420452836973215e+00,0.000000000000000000e+00
2.000000000000000111e-01,1.600000000000000000e+01,3.200000000000000178e+00,1.157889328567787146e-01,2.381155555755798403e+00,2.381172273578312737e+00,0.000000000000000000e+00
