sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000015932e-01,3.999999999999960032e+00,3.999999999999950262e+00,3.999999999999960032e+00,3.999999999999960032e+00
2.000000000000000000e+00,2.000000000000015932e-01,8.702539062500165290e-01,8.702539062500179723e-01,8.694090576172036622e-01,8.711773681640788691e-01
3.000000000000000000e+00,1.129746093749992436e-01,2.770740625486289854e+00,2.770809333798002871e+00,2.767122609908597930e+00,2.774792741875506064e+00
4.000000000000000000e+00,9.565888671875003024e-02,1.717383239395318117e+00,1.717393925208797967e+00,1.715208225009802634e+00,1.719619474093085465e+00
5.000000000000000000e+00,7.190386718750006734e-02,2.434461105023580263e+00,2.434517896169030138e+00,2.431012965642589396e+00,2.438142833051364811e+00
6.000000000000000000e+00,6.064945312499999547e-02,2.130243883588197829e+00,2.130281020278623760e+00,2.126896444042166490e+00,2.133945562025710174e+00
7.000000000000000000e+00,5.037084609375001160e-02,2.382918244049373246e+00,2.382985133260698607e+00,2.378904137774915384e+00,2.387226697488772587e+00
8.000000000000000000e+00,4.350236624999999357e-02,2.315630428494224180e+00,2.315700994337345442e+00,2.311418207666464220e+00,2.320219760362837391e+00
9.000000000000000000e+00,3.777892071874999064e-02,2.411021989698964418e+00,2.411113530223307322e+00,2.406367883190652979e+00,2.415897392988315406e+00
1.000000000000000000e+01,3.338172084999999067e-02,2.409947684737167251e+00,2.410050274495270983e+00,2.405104496194583330e+00,2.415086089323965179e+00
1.100000000000000000e+01,2.973410063124999961e-02,2.453254096395490969e+00,2.453372599547848587e+00,2.448182333962158896e+00,2.458528414996103972e+00
1.200000000000000000e+01,2.675032956125000805e-02,2.467290268229347383e+00,2.467420570577401495e+00,2.462197481450888237e+00,2.472633587110470987e+00
1.300000000000000000e+01,2.423403164805000218e-02,2.492165045903113718e+00,2.492307891099914574e+00,2.486985818759403166e+00,2.497523996043896410e+00
1.400000000000000000e+01,2.210454443859000487e-02,2.507587158640385283e+00,2.507740515023566097e+00,2.502345026996787070e+00,2.512911112771844646e+00
1.500000000000000000e+01,2.027481223506399921e-02,2.524893014160557225e+00,2.525056444133640721e+00,2.519545883283643484e+00,2.530114820201850634e+00
1.600000000000000000e+01,1.869176232020799966e-02,2.538686401402210802e+00,2.538858667589108276e+00,2.533318325268967719e+00,2.543726798160415914e+00
1.700000000000000000e+01,1.730902955877935620e-02,2.552215959478246088e+00,2.552396370633315037e+00,2.546764484452590960e+00,2.557148182084212351e+00
1.800000000000000000e+01,1.609315164473756540e-02,2.564134031436424710e+00,2.564321694084657821e+00,2.558677858677972150e+00,2.568939008412217451e+00
1.900000000000000000e+01,1.501652968070498612e-02,2.575418912827494911e+00,2.575613141220844060e+00,2.570007671363032209e+00,2.580257632669858747e+00
2.000000000000000000e+01,1.405768561606793136e-02,2.585785892910834605e+00,2.585985971727450483e+00,2.580256004623885602e+00,2.590736397430912330e+00
2.100000000000000000e+01,1.319902142305478566e-02,2.595563054692529015e+00,2.595768363893763198e+00,2.590199586864696979e+00,2.600438573204570059e+00
2.200000000000000000e+01,1.242630978922144511e-02,2.604726319467558948e+00,2.604936257458431381e+00,2.599158730417604701e+00,2.609604102130393954e+00
2.300000000000000000e+01,1.172778796115285516e-02,2.613406555443277046e+00,2.613620577636158071e+00,2.607708886809116500e+00,2.618320123482372086e+00
2.400000000000000000e+01,1.109372379189424440e-02,2.621632280335808751e+00,2.621849874065433461e+00,2.615794147205193987e+00,2.626560592137808126e+00
2.500000000000000000e+01,1.051596861107121673e-02,2.629467224900154942e+00,2.629687921854674482e+00,2.623463993241829773e+00,2.634424144980213711e+00
