sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00,3.999999999999953815e+00,3.999999999999953815e+00
2.000000000000000000e+00,2.000000000000018430e-01,8.716210937500178391e-01,8.716210937500176170e-01,8.702719726562676561e-01,8.729882812500175948e-01
3.000000000000000000e+00,1.128378906249992569e-01,2.773513579007560015e+00,2.773585015779438390e+00,2.767259085093942250e+00,2.780048526863149405e+00
4.000000000000000000e+00,9.568085937500006577e-02,1.711085436203491073e+00,1.711098249982244912e+00,1.707375718896599226e+00,1.714727596002687093e+00
5.000000000000000000e+00,7.190835937500003605e-02,2.430605577628647929e+00,2.430664966990453646e+00,2.425038695198975969e+00,2.436350098903086625e+00
6.000000000000000000e+00,6.072468749999999221e-02,2.118894601145541401e+00,2.118923766091600491e+00,2.113414107486737414e+00,2.124520631355031774e+00
7.000000000000000000e+00,5.046349062500001675e-02,2.371225818764885584e+00,2.371276893793933027e+00,2.364757396703253356e+00,2.377626767427312160e+00
8.000000000000000000e+00,4.363035437500002028e-02,2.298959003126365808e+00,2.299004185939098832e+00,2.292121434702383276e+00,2.305653697028659188e+00
9.000000000000000000e+00,3.792544112500000064e-02,2.392658828302557161e+00,2.392716805320671103e+00,2.385083731266572027e+00,2.399674171020402369e+00
1.000000000000000000e+01,3.354783865000000864e-02,2.388335817574345210e+00,2.388398863220045243e+00,2.380404022188495450e+00,2.395285809205996763e+00
1.100000000000000000e+01,2.991309066000000239e-02,2.429848739341202712e+00,2.429922043283680555e+00,2.421528146562376804e+00,2.437181012921461498e+00
1.200000000000000000e+01,2.694017631999999843e-02,2.441783733299633496e+00,2.441865075977698751e+00,2.433122392094438258e+00,2.449310319814467007e+00
1.300000000000000000e+01,2.443125030080000454e-02,2.465285896214150618e+00,2.465375867956164146e+00,2.456576455587940355e+00,2.472885880698642680e+00
1.400000000000000000e+01,2.230709810512000041e-02,2.479452099562575285e+00,2.479549529930395568e+00,2.470764401523116494e+00,2.487110866907757067e+00
1.500000000000000000e+01,2.048058021280799515e-02,2.495949598957551530e+00,2.496053747408661483e+00,2.487424181786489275e+00,2.503574108200020909e+00
1.600000000000000000e+01,1.889919837388159482e-02,2.509166264840453131e+00,2.509276120247554420e+00,2.501024593483101022e+00,2.516768268221802440e+00
1.700000000000000000e+01,1.751675327579104227e-02,2.522443888735103723e+00,2.522558499409448096e+00,2.514416520990070403e+00,2.529759426639107467e+00
