sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00,3.999999999999953815e+00,3.999999999999953815e+00
2.000000000000000000e+00,2.000000000000018430e-01,8.718554687500180700e-01,8.718554687500176259e-01,8.696679687500182832e-01,8.741796875000179545e-01
3.000000000000000000e+00,1.128144531249992283e-01,2.777964370423015250e+00,2.778031256197543986e+00,2.768392812164264249e+00,2.789207759308807155e+00
4.000000000000000000e+00,9.553515625000008615e-02,1.718984339861761912e+00,1.719019871193951277e+00,1.715661391642922196e+00,1.722963217391591195e+00
5.000000000000000000e+00,7.175859375000005758e-02,2.439830812947059613e+00,2.439927609956983989e+00,2.433090503328265708e+00,2.448494037761576703e+00
6.000000000000000000e+00,6.051939062500000244e-02,2.132862478735514156e+00,2.132944716516376182e+00,2.127643226587383030e+00,2.138358410274491916e+00
7.000000000000000000e+00,5.024533750000000076e-02,2.387055104864207244e+00,2.387168515962470927e+00,2.380803694034132167e+00,2.394277683122775002e+00
8.000000000000000000e+00,4.338533500000000404e-02,2.319221967515059379e+00,2.319336067502261844e+00,2.312507841741925141e+00,2.325772784012730021e+00
9.000000000000000000e+00,3.766780975000000309e-02,2.415465246157565637e+00,2.415594717396323254e+00,2.407817221517569273e+00,2.422840543446473482e+00
1.000000000000000000e+01,3.327585884999999244e-02,2.414797493649064819e+00,2.414933594066001277e+00,2.406692711327135470e+00,2.421922706467907638e+00
1.100000000000000000e+01,2.963236369500000036e-02,2.458919496870734189e+00,2.459065808296695188e+00,2.450400053035035164e+00,2.466345908131527320e+00
1.200000000000000000e+01,2.665189550199999202e-02,2.473720010340449083e+00,2.473874434957791024e+00,2.464998500177201457e+00,2.481397982215414633e+00
1.300000000000000000e+01,2.413825309360000115e-02,2.499477126132068072e+00,2.499640081745032383e+00,2.490467927735414477e+00,2.507272126708981030e+00
1.400000000000000000e+01,2.201089461952000434e-02,2.515793617816686645e+00,2.515964390551896912e+00,2.506422497403568261e+00,2.523712391575057445e+00
1.500000000000000000e+01,2.018290536458399592e-02,2.534030357674931011e+00,2.534208479131650815e+00,2.524351867202791588e+00,2.542084559888508455e+00
1.600000000000000000e+01,1.860128829285759983e-02,2.548768797247050522e+00,2.548953597341942157e+00,2.538894480764303019e+00,2.556999299333724274e+00
1.700000000000000000e+01,1.721975641524447695e-02,2.563259538246523306e+00,2.563450228980823642e+00,2.553258200117902721e+00,2.571552465513259556e+00
