sigma,P_mean,Ds_of_mean_P,mean_Ds,Ds_block4_ci_low,Ds_block4_ci_high
0.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,nan
1.000000000000000000e+00,2.000000000000018430e-01,3.999999999999953815e+00,3.999999999999956923e+00,3.999999999999953815e+00,3.999999999999953815e+00
2.000000000000000000e+00,2.000000000000018430e-01,8.711914062500178968e-01,8.711914062500173417e-01,8.684760742187678240e-01,8.737109375000178257e-01
3.000000000000000000e+00,1.128808593749992539e-01,2.774855956397677570e+00,2.774915856700272965e+00,2.763235660520733994e+00,2.785205428364002422e+00
4.000000000000000000e+00,9.559062500000008178e-02,1.718333387819114710e+00,1.718345558371233928e+00,1.715323684622491518e+00,1.721080039660479732e+00
5.000000000000000000e+00,7.181671875000007754e-02,2.437951860965524631e+00,2.438009251301798130e+00,2.429798135719293484e+00,2.444147698712116235e+00
6.000000000000000000e+00,6.057348437500000710e-02,2.131723271037278433e+00,2.131752831648903168e+00,2.126802183336188534e+00,2.136299385348140678e+00
7.000000000000000000e+00,5.029573437499999800e-02,2.385453512925271191e+00,2.385506745458445543e+00,2.378873312170618259e+00,2.392257760003812184e+00
8.000000000000000000e+00,4.343375062499999634e-02,2.317408801948242836e+00,2.317455692635352005e+00,2.311269886046299682e+00,2.324133922732489754e+00
9.000000000000000000e+00,3.771401487500000010e-02,2.413353456975318778e+00,2.413413786762965696e+00,2.406533622814880591e+00,2.421410119439673103e+00
1.000000000000000000e+01,3.332072305000001455e-02,2.412404275542874288e+00,2.412468334323039976e+00,2.405410834702832901e+00,2.420990585295406561e+00
1.100000000000000000e+01,2.967570939999999644e-02,2.456411989362595527e+00,2.456485882839783308e+00,2.448956421714095111e+00,2.465784689143191599e+00
1.200000000000000000e+01,2.669383501699999078e-02,2.471190391264115771e+00,2.471271052634499643e+00,2.463129196278346367e+00,2.481223195139475646e+00
1.300000000000000000e+01,2.417858034999999933e-02,2.497113364700916271e+00,2.497202102567803284e+00,2.488787556867771755e+00,2.507380434215756182e+00
1.400000000000000000e+01,2.204947685303999469e-02,2.513729393919396760e+00,2.513824953915611449e+00,2.505062679204032250e+00,2.524350477881883936e+00
1.500000000000000000e+01,2.021955048671199989e-02,2.532424449076196016e+00,2.532526699966240802e+00,2.523552898736844075e+00,2.543108097534089840e+00
1.600000000000000000e+01,1.863584458624799670e-02,2.547747179066638168e+00,2.547855370171239642e+00,2.538540730287464520e+00,2.558725437938921488e+00
1.700000000000000000e+01,1.725208670707839911e-02,2.562942551927032575e+00,2.563056239427411676e+00,2.553672425479893704e+00,2.574091042211654745e+00
