sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000018985e-01,2.000000000000018985e-01,3.999999999999952482e+00,3.999999999999952482e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000018985e-01,2.000000000000018985e-01,8.694531250000182565e-01,8.719824218750181766e-01,2.529296874999920064e-03,0.000000000000000000e+00
3.000000000000000000e+00,1.130546874999992513e-01,1.128017578124992509e-01,2.767039250915690918e+00,2.777258914889816133e+00,1.021966397412521488e-02,-2.237233086863410492e-03
4.000000000000000000e+00,9.572441406250006835e-02,9.557343750000006632e-02,1.715451868869951157e+00,1.715580296565106577e+00,1.284276951554197410e-04,-1.577200173838888553e-03
5.000000000000000000e+00,7.200203125000005644e-02,7.181078125000005252e-02,2.429148591728099937e+00,2.435227453224513727e+00,6.078861496413789922e-03,-2.656175064505661432e-03
6.000000000000000000e+00,6.074368750000001815e-02,6.059832031250000917e-02,2.126716665003262730e+00,2.126373603847574678e+00,-3.430611556880514001e-04,-2.393124182657024868e-03
7.000000000000000000e+00,5.047126249999998870e-02,5.033500312499999269e-02,2.377851622742746862e+00,2.379511375067588030e+00,1.659752324841168303e-03,-2.699741758986018425e-03
8.000000000000000000e+00,4.359894843749999999e-02,4.348793281249999781e-02,2.311613562067345473e+00,2.310115760920313122e+00,-1.497801147032351565e-03,-2.546291343681006403e-03
9.000000000000000000e+00,3.787327243750000100e-02,3.777723325000000715e-02,2.406647916097441442e+00,2.405288056001297470e+00,-1.359860096143972186e-03,-2.535803782429457698e-03
1.000000000000000000e+01,3.347143374999999449e-02,3.339180748749998734e-02,2.406171370684114574e+00,2.403251247481607678e+00,-2.920123202506896831e-03,-2.378931930276384499e-03
1.100000000000000000e+01,2.981947187499999971e-02,2.975234295000000334e-02,2.449573484825508629e+00,2.446283384935900695e+00,-3.290099889607933648e-03,-2.251177528609260570e-03
1.200000000000000000e+01,2.683098032849999537e-02,2.677520183100000686e-02,2.463990707807881986e+00,2.459879110892220666e+00,-4.111596915661319684e-03,-2.078884066742059389e-03
1.300000000000000000e+01,2.431019802409999445e-02,2.426369631049999850e-02,2.489074836931120860e+00,2.484589653999746517e+00,-4.485182931374342985e-03,-1.912847997120215027e-03
1.400000000000000000e+01,2.217637246829999922e-02,2.213786884477999747e-02,2.504769662486914239e+00,2.499843872514813992e+00,-4.925789972100247383e-03,-1.736245347386811133e-03
1.500000000000000000e+01,2.034257623962800257e-02,2.031075232606000674e-02,2.522284831957076090e+00,2.517113115738404350e+00,-5.171716218671740251e-03,-1.564399375630798339e-03
1.600000000000000000e+01,1.875572103549039138e-02,1.872957144008400091e-02,2.536289920968424649e+00,2.530905246085174642e+00,-5.384674883250006872e-03,-1.394219681392638854e-03
1.700000000000000000e+01,1.736945460070239353e-02,1.734807916264527808e-02,2.550003553379904808e+00,2.544508398504985891e+00,-5.495154874918917187e-03,-1.230633807940750835e-03
1.800000000000000000e+01,1.615029921478085967e-02,1.613296360906751534e-02,2.562096485765789744e+00,2.556539259514860607e+00,-5.557226250929137024e-03,-1.073392231487502180e-03
1.900000000000000000e+01,1.507064210835483593e-02,1.505671500492829738e-02,2.573542199528106700e+00,2.567985673724251239e+00,-5.556525803855461021e-03,-9.241214359949623258e-04
2.000000000000000000e+01,1.410898692847368033e-02,1.409794106033041873e-02,2.584061765049527892e+00,2.578547776639785738e+00,-5.513988409742154317e-03,-7.828959087750053669e-04
