sigma,P_chain1,P_chain2,Ds_chain1,Ds_chain2,Ds_chain2_minus_chain1,relative_P_difference
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,nan,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000015932e-01,2.000000000000015932e-01,3.999999999999960032e+00,3.999999999999960032e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.000000000000015932e-01,2.000000000000015932e-01,8.698583984375162226e-01,8.705371093750167155e-01,6.787109375004929390e-04,0.000000000000000000e+00
3.000000000000000000e+00,1.130141601562492798e-01,1.129462890624992333e-01,2.768754779588137982e+00,2.771889293341577076e+00,3.134513753439094330e-03,-6.005538921513009498e-04
4.000000000000000000e+00,9.569716796875009368e-02,9.564179687500010130e-02,1.716334588173311193e+00,1.717235943032846324e+00,9.013548595351306147e-04,-5.786074439326771568e-04
5.000000000000000000e+00,7.195207031250006047e-02,7.188640625000004836e-02,2.432279137642086919e+00,2.434586739495695262e+00,2.307601853608343134e-03,-9.126083824249064946e-04
6.000000000000000000e+00,6.069566406250000157e-02,6.063905859374998236e-02,2.128759712422831019e+00,2.129370669778322789e+00,6.109573554917702154e-04,-9.326114084809988825e-04
7.000000000000000000e+00,5.041765625000001888e-02,5.036590078124998648e-02,2.380947563012710599e+00,2.381547246910430182e+00,5.996838977195828591e-04,-1.026534603143725022e-03
8.000000000000000000e+00,4.354683609374998543e-02,4.350351968750001269e-02,2.314007205553628488e+00,2.313432625059939518e+00,-5.745804936889697956e-04,-9.947084595702815335e-04
9.000000000000000000e+00,3.782169468749998348e-02,3.778559306249999750e-02,2.409229531731302831e+00,2.408085589148877048e+00,-1.143942582425783172e-03,-9.545216124838828975e-04
1.000000000000000000e+01,3.342226456249999811e-02,3.339341500625001014e-02,2.408279360438978056e+00,2.406280666711110960e+00,-1.998693727867095760e-03,-8.631837676958964423e-04
1.100000000000000000e+01,2.977267969500000180e-02,2.975020016999998726e-02,2.451513785388544697e+00,2.448893838585565863e+00,-2.619946802978834199e-03,-7.550386874913828095e-04
1.200000000000000000e+01,2.678697958974998738e-02,2.677022574324999099e-02,2.465560576933129244e+00,2.462311693872081264e+00,-3.248883061047980192e-03,-6.254473911051494639e-04
1.300000000000000000e+01,2.426893629070000710e-02,2.425714684539999680e-02,2.490378838663001027e+00,2.486621732632926740e+00,-3.757106030074286451e-03,-4.857833552650570041e-04
1.400000000000000000e+01,2.213783763780999975e-02,2.213035278037000023e-02,2.505762920332441190e+00,2.501554565881369818e+00,-4.208354451071372182e-03,-3.381024634138141138e-04
1.500000000000000000e+01,2.030663824147399196e-02,2.030284077094999390e-02,2.523011213663848729e+00,2.518432339771411232e+00,-4.578873892437496096e-03,-1.870063611141281612e-04
1.600000000000000000e+01,1.872224590480639841e-02,1.872159739458400043e-02,2.536751527383486859e+00,2.531862785061600007e+00,-4.888742321886851983e-03,-3.463848438356453840e-05
1.700000000000000000e+01,1.733828287303231311e-02,1.734030853843415362e-02,2.550225508148874276e+00,2.545086811459848164e+00,-5.138696689026112097e-03,1.168319502382608732e-04
1.800000000000000000e+01,1.612127347831770682e-02,1.612556265530086172e-02,2.562091755448987485e+00,2.556753576215458956e+00,-5.338179233528528300e-03,2.660569581505178860e-04
1.900000000000000000e+01,1.504360610269141196e-02,1.504980353913265741e-02,2.573328440133277439e+00,2.567836134661589220e+00,-5.492305471688219143e-03,4.119648174074619362e-04
